Naam,Afkorting,Niveau,Subsidieverstrekker,Doel,Sector,Thema,Thema verdieping,Subsidiabele activiteiten,Subsidiabele activiteiten (output),Locatie,Soort organisatie,Soort organisatie (output),Samenwerking,Samenwerking (matching),Type samenwerking (output),Totaal budget,Subsidiebedrag (max.),Subsidiepercentage,Datum open,Datum sluiting,Beoordeling/verdeling,Looptijd project
Slimme en duurzame mobiliteit Overijssel,SDM,Provinciaal,Provincie Overijssel,Het doel van deze regeling is het ondersteunen van kansrijke investeringen op het gebied van spitsmijding en CO2-reductie in de provincie Overijssel.,Geen vereiste,Mobiliteit,"Slimme mobiliteit, duurzame mobiliteit",Investeren en uitrollen,De regeling biedt subsidie voor maatregelen die spitsmijding en CO2-reductie als doel hebben: - spitsmijding: zorgen dat een auto op werkdagen uit de spits blijft door mensen te stimuleren met een ander vervoermiddel te reizen. op een ander tijdstip te reizen of niet te reizen. De ochtendspits is tussen 7.00 en 9.00 uur. De avondspits is tussen 16.00 en 18.00 uur. - CO2-reductie: het verminderen van CO2-uitstoot door minder. schoner. anders of niet te reizen.,Overijssel,Overheid; Onderwijs; MKB; Groot bedrijf; Kennisinstellingen; Stichting,Organisaties die fysiek gevevestigd zijn in Overijssel,Nee,N.v.t.,Nee,75000,50000,50%,1/1/2022,11/30/2022,Volgorde van binnenkomst,Onbekend
Subsidie mobiliteitshubs Zeeland 2022-2024 ,SMH,Provinciaal,Provincie Zeeland,Het doel van deze regeling is het stimuleren van de realisatie van haltes. hubs en deelmobiliteithubs in Zeeland. Deze locaties moeten bijdragen aan het verbeteren van de bereikbaarheid van de Zeeuwse dorpen. steden. landelijk en industrieel gebied.,Overheid,Mobiliteit,"Slimme mobiliteit, duurzame mobiliteit, mobiliteitshubs, deelmobiliteit",Investeren en uitrollen,Er kan subsidie worden aangevraagd voor: - Realisatie van een halte en hub; en - Realisatie van een deelmobiliteithub.,Zeeland,Overheid; MKB; Groot bedrijf,Gemeenten en exploitanten van hubs,Nee,N.v.t.,Nee,500000,500000,50-75%,6/10/2022,10/31/2022,Volgorde van binnenkomst,Onbekend
Omscholing naar kansrijke beroepen in de ICT en techniek,OIT,Nationaal,RVO,Het doel van de regeling is het ondersteunen van omscholingstrajecten voor werknemers richting beroepen in de ict en techniek. waar nog veel vacatures openstaan.,Geen vereiste,Digitalisering; Personeel opleiden,"Digitalisering, digitale vaardigheid, human capital, ICT",Onderwijs,Een werkgever kan subsidie aanvragen voor het faciliteren van een of meer omscholingstrajecten die zijn gericht op het verwerven van de benodigde competenties. kennis en ervaring door een of meer werknemers ten behoeve van de uitoefening van een ict- en techniek-kansrijk beroep. Een werkgever kan voor maximaal zes omscholingstrajecten subsidie aanvragen.,Nederland,Onderwijs; MKB; Groot bedrijf; Kennisinstellingen; Stichting,Werkgevers,Nee,N.v.t.,Nee,10000000,22500,n.v.t.,9/26/2022,12/1/2022,Volgorde van binnenkomst,Onbekend
Tijdelijke regeling specifieke uitkeringen intelligente verkeersregelinstallaties,TRSUIV,Nationaal,RVO,Het doel van de regeling is om de landelijke invoering van uniforme intelligente verkeersregelinstallaties in Nederland te versnellen om daarmee bij te dragen aan de beleidsdoelen van bereikbaarheid. duurzaamheid. verkeersveiligheid en slimme duurzame verstedelijking.,Overheid,Digitalisering; Infrastructuur verbeteren; Milieu en natuur beschermen of beheren; Mobiliteit,"Digitalisering, smart city, software, slimme mobiliteit, ITS, iVRI, stedelijk verkeer, stedelijke luchtkwaliteit",Investeren en uitrollen,De specifieke uitkering  wordt verstrekt voor de kosten voor de volgende activiteiten: - aanschaf en installatie van (onderdelen van) een intelligente verkeersregelinstallatie. die voldoet aan de landelijke standaarden; - aanschaf en installatie van een luchtkwaliteitsmeter bij een intelligente verkeersregelinstallatie. Het gaat zowel om installatie bij een reeds geplaatste intelligente verkeersregelinstallatie als bij een intelligente verkeersregelinstallatie die met gebruikmaking van deze regeling is aangeschaft; - aansluiting van een intelligente verkeersregelinstallatie of een luchtkwaliteitsmeter op het landelijke dataplatform voor intelligente verkeersregelinstallaties; - beheer met software update van de onder deze regeling aangeschafte intelligente verkeersregelinstallatie voor de eerste vier jaren na aansluiting op het landelijke platform.,Nederland,Overheid,Gemeenten en provincies,Nee,N.v.t.,Nee,10000000,605000,50%,5/24/2022,12/31/2023,Volgorde van binnenkomst,Uitvoering voor 31 december 2024
Digital Europe,DE,Europees,Europese Commissie,Het doel van het programma is om de digitale transformatie van de economie. het bedrijfsleven en de samenleving in de europese Unie (EU) te ondersteunen en te versnellen.,Geen vereiste,Digitalisering; Personeel opleiden,"Digitalisering, digitale vaardigheid, kunstmatige intelligentie, cybersecurity, high performance computing",Investeren en uitrollen; Onderzoek en ontwikkeling,Het subsidieprogramma richt zich op: - het opbouwen en versterken van de strategische digitale capaciteiten en infrastructuur in de Europese Unie (EU); - het faciliteren van de brede toepassing van deze digitale capaciteiten en infrastructuur; - het bereikbaar maken van digitale technologieën zoals kunstmatige intelligentie. cybersecurity en high performance computing; - het versterken van geavanceerde digitale vaardigheden; - het verlagen van de drempel tot kennis. expertise. experimenteer mogelijkheden en ondersteuning bij gebruik van deze technologieën voor vooral het mkb en de publieke sector. ,Europa,Overheid; MKB; Groot bedrijf,Samenwerkingsverbanden,Ja,Privaat/privaat; Publiek/publiek; Publiek/privaat,Ja,7588000000,2133000,100%,9/29/2022,11/16/2022,Tender,Onbekend
Driving Urban Transitions to a Sustainable Future for cities,DUT,Europees,JPI Urban Europe,Driving Urban Transitions (DUT) is binnen het Horizon Europe-programma een Europees partnerschap voor stedelijke verandering in een globale context en voor een duurzame toekomst. Het doel van het partnerschap is aantrekkelijke. duurzame en economisch levensvatbare stedelijke gebieden creëren. waarin de Europese burgers. gemeenschappen en hun omgeving goed gedijen.,Geen vereiste,Duurzaamheid en circulariteit; Infrastructuur verbeteren; Maatschappelijke vraagstukken; Mobiliteit,"Slimmer mobiliteit. duurzame mobiliteit, 15 minute city",Onderzoek en ontwikkeling,Onderzoeksprojecten gefinancierd binnen deze call zijn gerelateerd aan 3 pijlers. Deze pijlers raken een breed aantal uitdagingen op het gebied van stedelijke transformatie. - Circular Urban Economies: het transitietraject Circular Urban Economies (CUE) richt zich op het stimuleren van stadsontwerpen voor regeneratief urbanisme. dat wil zeggen: leefbare. inclusieve en groene gemeenschappen en buurten waaraan circulaire stedelijke economieën en grondstofstromen ten grondslag liggen.- Positive Energy Districts: het transitietraject Positive Energy Districts (PED) moet lokale energiesystemen optimaliseren via energie-efficiëntie. flexibiliteit en lokale energieopwekking uit hernieuwbare energiebronnen. Dit is onderdeel van de implementatie van de (stedelijke) energietransitie en klimaatneutraliteit. PED werkt als ondersteuning van stedelijke energietransities via innovatieve oplossingen voor de planning. grootschalige uitvoering en reproductie van PED's. Uiteindelijk moeten rond 2025 tennste 100 PED’s tot stand zijn gebracht.- 15 Minute City: in het transitietraject 15-Minute City (15mC) ligt de nadruk op een heroverweging van het huidige mobiliteitssysteem om zo duurzame mobiliteitskeuzes te bevorderen. Dit is gebaseerd op de gedachte dat stadsbewoners lopend of fietsend binnen 15 minuten aan de meeste behoeftes moeten kunnen voldoen. Voor de verbinding met wijken die verder weg liggen en het afleggen van grotere afstanden moeten de stadsbewoners gebruik kunnen maken van andere vormen van duurzaam vervoer.,Europa,Kennisinstellingen; Overheid; Stichting; MKB; Groot bedrijf,"Samenwerkingsverbanden van onderzoeksorganisaties, overheden en maatschappelijke organisaties",Minimaal 3 organisaties uit 3 verschillende EU landen,Publiek/publiek,Minimaal 3 organisaties uit 3 verschillende EU landen,1500000,300000,n.v.t.,9/21/2022,11/21/2022,Tender,3 jaar
Groen. subsidie. 2.2: Verduurzaming landbouw met agrarische structuurversterking,VLAS,Provinciaal,Provincie Zuid-Holland,De subsidiemogelijkheid in deze paragraaf is bedoeld voor initiatieven die bijdragen aan de realisatie van de Hoofdlijnennotitie Vitale Landbouw.,Landbouw & Visserij,Landbouw interventies; Milieu en natuur beschermen of beheren; Voedsel en voedselveiligheid,Economisch vitale landbouw;Kringlooplandbouw;Landbouw met ruimte voor biodiversiteit. water. landschap;Landbouw met oog voor regionaal voedselsysteem,Demonstratie en pilots; Investeren en uitrollen; Onderzoek en ontwikkeling,Subsidie kan worden verstrekt voor planvorming voor de verbetering van de verkavelingsstructuur van landbouwbedrijven. gericht op de verbetering van de landbouwinfrastructuur waarbij een bijdrage wordt geleverd aan verduurzaming van de landbouw. of voor uitvoering van kavelruil.De activiteit waarvoor subsidie wordt aangevraagd is gericht op verbetering van de agrarische structuur in het gebied door verbeterde ligging van kavels. Dit moet leiden tot een efficiëntere bedrijfsvoering voor de agrariër en een verbeterde verkeersveiligheid. vermindering van CO2-uitstoot en vermindering van wegonderhoud doordat er minder verkeersbewegingen van landbouwmachines plaatsvinden.,Provincie Zuid-Holland,MKB; Stichting; Overheid,agrarische ondernemingen en samenwerkingsverbanden daarvan. stichtingen voor kavelruil. landbouworganisaties. natuur- en landschapsorganisaties. waterschappen en gemeenten.,Optioneel,Privaat/privaat; Publiek/publiek; Publiek/privaat,Optioneel,200000,500,50%,1/1/2022,1/1/2022,First come first serve,N.v.t.
Regeling uitvoering LEADER-projecten provincie Utrecht 2016,LEADER,Provinciaal,Provincie Utrecht,Het doel van de Regeling uitvoering LEADER-projecten provincie Utrecht 2016 (LEADERU) is het beschikbaar stellen van middelen voor concrete acties ten behoeve van de uitvoering van Lokale Ontwikkelingsstrategieën in de LEADER-gebieden Weidse Veenweiden. Utrecht-Oost en Polders met waarden.,Geen vereiste,Duurzaamheid en circulariteit; Landbouw interventies; Milieu en natuur beschermen of beheren,Verstevigen relaties stad en land; Gebiedsgerichte economie; Platteland; Duurzame landbouw; voedsel van dichtbij; Korte ketens; Kringlopen; verduurzaming; Vraaggestuurd aanbod; Landbouw; Circulaire economie,Investeren en uitrollen; Demonstratie en uitrollen,"Subsidie kan worden verstrekt voor de onderstaande kosten. gemaakt ter voorbereiding of uitvoering van projecten die passen binnen een LOS:1. voorbereidingskosten:a. kosten van architecten en ingenieurs;b. kosten van externe adviseurs;c. kosten van haalbaarheidsstudies.2. kosten voor projectmanagement en projectadministratie;3. uitvoeringskosten:
",Provincie Utrecht,MKB; Groot bedrijf; Overheid,Bedrijven. overheid en particulieren,Optioneel,Privaat/privaat; Publiek/publiek; Publiek/privaat,Optioneel,3859500,200000,50%,1/9/2018,31/12/2022,First come first serve,N.v.t.
KIC Veilige en gezonde voeding en voedselsystemen,KIC VGVV,Nationaal,NWO,Deze call roept op tot interdisciplinair onderzoek naar duurzame en innovatieve voedselsystemen. die gezond en veilig voedsel produceren voor de huidige en toekomstige bevolking.,Geen vereiste,Landbouw interventies; Maatschappelijke vraagstukken; Voedsel en voedselveiligheid,Voeding en gezondheid bij verschillende bevolkingsgroepen;Invloed van omgeving op gezond keuzegedrag;Ontwikkeling van duurzame en gezonde voedingsproducten;Voedselveiligheid. leefomgeving en gezondheid;,Investeren en uitrollen; Onderzoek en ontwikkeling,Onderzoek aansluitend op de KIA gezondheid en zorg en Landbouw. Water. Voedsel.; onderzoekspersoneel. Materiële kosten; Investeringen; kennisinkoop; internationalisering; projectmanagement,"Nederland, kennisinstellingen in buitenland",Kennisinstellingen; MKB; Groot bedrijf,Hogescholen. universiteiten. bedrijven. maatschappelijke partners,Ja,Publiek/publiek; Publiek/privaat,Hoofdaanvrager van kennisinstelling met een of meerdere consortiumpartners,5000000,1250000,70%,1/9/2022,1/9/2022,Tender,6 jaar
Voedsel en Groen: Innofest X SIA - Floriade 2022,VeG Innofest,Nationaal,SIA,Voor het uitvoeren van een experiment of het testen van je hypothese of onderzoeksresultaat op de Floriade Expo 2022,Geen vereiste,Landbouw interventies; Onderzoek en ontwikkeling; Voedsel en voedselveiligheid,Living Labs; Voedsel; Floriade; Agrarisch; innovatie; Green Cities,Onderzoek en ontwikkeling,Vraag deze financiering aan voor de kosten die je maakt voor het voorbereiden en uitvoerenvan een test op de Floriade Expo 2022. Hieronder vallen kosten die rechtstreeks verbandhouden met het maken of verbeteren van prototypen. het maken van demo’s. ontwikkelen vanmaterialen om de test uit te voeren of te ondersteunen. inzet van onderzoekers en studenten.entreegelden voor de Floriade en eventuele reis- en verblijfskosten,Nederland,Kennisinstellingen,Onderzoekers van Hoge Scholen,Nee,N.v.t.,Nee,60000,10000,100%,14/2/2022,1/4/2023,Tender,3 maanden
